"District","Time","Age","Cases","Population"
"KEPULAUAN SERIBU",2020,"0-4",9,2837
"KEPULAUAN SERIBU",2020,"10-14",1,2307
"KEPULAUAN SERIBU",2020,"15-19",0,2575
"KEPULAUAN SERIBU",2020,"20-44",2,11456
"KEPULAUAN SERIBU",2020,"45-54",0,3184
"KEPULAUAN SERIBU",2020,"5-9",4,2425
"KEPULAUAN SERIBU",2020,"55-64",0,1960
"KEPULAUAN SERIBU",2020,"65-74",0,756
"KEPULAUAN SERIBU",2020,"75-99",0,249
"KEPULAUAN SERIBU",2021,"0-4",13,2904
"KEPULAUAN SERIBU",2021,"10-14",2,2307
"KEPULAUAN SERIBU",2021,"15-19",2,2645
"KEPULAUAN SERIBU",2021,"20-44",1,11720
"KEPULAUAN SERIBU",2021,"45-54",1,3284
"KEPULAUAN SERIBU",2021,"5-9",5,2424
"KEPULAUAN SERIBU",2021,"55-64",0,2052
"KEPULAUAN SERIBU",2021,"65-74",0,789
"KEPULAUAN SERIBU",2021,"75-99",0,258
"KEPULAUAN SERIBU",2022,"0-4",10,2970
"KEPULAUAN SERIBU",2022,"10-14",9,2307
"KEPULAUAN SERIBU",2022,"15-19",3,2715
"KEPULAUAN SERIBU",2022,"20-44",5,11983
"KEPULAUAN SERIBU",2022,"45-54",0,3384
"KEPULAUAN SERIBU",2022,"5-9",9,2423
"KEPULAUAN SERIBU",2022,"55-64",0,2143
"KEPULAUAN SERIBU",2022,"65-74",1,822
"KEPULAUAN SERIBU",2022,"75-99",0,267
"KEPULAUAN SERIBU",2023,"0-4",2,3037
"KEPULAUAN SERIBU",2023,"10-14",1,2307
"KEPULAUAN SERIBU",2023,"15-19",2,2785
"KEPULAUAN SERIBU",2023,"20-44",1,12250
"KEPULAUAN SERIBU",2023,"45-54",0,3483
"KEPULAUAN SERIBU",2023,"5-9",3,2423
"KEPULAUAN SERIBU",2023,"55-64",0,2235
"KEPULAUAN SERIBU",2023,"65-74",1,856
"KEPULAUAN SERIBU",2023,"75-99",0,276
"KOTA JAKARTA BARAT",2020,"0-4",161,184826
"KOTA JAKARTA BARAT",2020,"10-14",389,191448
"KOTA JAKARTA BARAT",2020,"15-19",368,191451
"KOTA JAKARTA BARAT",2020,"20-44",960,1018374
"KOTA JAKARTA BARAT",2020,"45-54",133,321632
"KOTA JAKARTA BARAT",2020,"5-9",264,190257
"KOTA JAKARTA BARAT",2020,"55-64",88,208958
"KOTA JAKARTA BARAT",2020,"65-74",31,94179
"KOTA JAKARTA BARAT",2020,"75-99",12,33386
"KOTA JAKARTA BARAT",2021,"0-4",138,183270
"KOTA JAKARTA BARAT",2021,"10-14",230,194307
"KOTA JAKARTA BARAT",2021,"15-19",176,189904
"KOTA JAKARTA BARAT",2021,"20-44",499,1006269
"KOTA JAKARTA BARAT",2021,"45-54",75,331234
"KOTA JAKARTA BARAT",2021,"5-9",180,191115
"KOTA JAKARTA BARAT",2021,"55-64",44,218521
"KOTA JAKARTA BARAT",2021,"65-74",13,98997
"KOTA JAKARTA BARAT",2021,"75-99",4,35044
"KOTA JAKARTA BARAT",2022,"0-4",420,181715
"KOTA JAKARTA BARAT",2022,"10-14",601,197166
"KOTA JAKARTA BARAT",2022,"15-19",435,188358
"KOTA JAKARTA BARAT",2022,"20-44",1265,994163
"KOTA JAKARTA BARAT",2022,"45-54",187,340836
"KOTA JAKARTA BARAT",2022,"5-9",536,191974
"KOTA JAKARTA BARAT",2022,"55-64",100,228085
"KOTA JAKARTA BARAT",2022,"65-74",44,103815
"KOTA JAKARTA BARAT",2022,"75-99",15,36703
"KOTA JAKARTA BARAT",2023,"0-4",359,180159
"KOTA JAKARTA BARAT",2023,"10-14",317,200025
"KOTA JAKARTA BARAT",2023,"15-19",263,186811
"KOTA JAKARTA BARAT",2023,"20-44",727,982057
